family,sequence,arm,historical_prompt15_value,historical_authority,historical_status,final_prompt22_replacement,reason
NTU,eee_01,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/eee_01 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
NTU,eee_02,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/eee_02 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
NTU,eee_03,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/eee_03 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
NTU,nya_01,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/nya_01 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
NTU,nya_02,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/nya_02 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
NTU,nya_03,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/nya_03 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
NTU,sbs_01,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/sbs_01 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
NTU,sbs_02,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/sbs_02 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
NTU,sbs_03,ALL_CANONICAL_ARMS,Prompt15 three-repetition cell retained,hku-mars/FAST-LIVO2@0d2c034:config/NTU_VIRAL.yaml,PROMPT15_REUSED_AFTER_FINAL_CONFIG_AUDIT,NTU/sbs_03 canonical four-arm cell,18/18 P/N shared-config audits passed; official SHA/value audit passed; stride=1 reused
OXFORD,Church_05,N-LIO,0.226500;0.226500;0.226500,old Prompt15 effective profile,HISTORICAL_ONLY_WRONG_FINAL_SHARED_CONFIG,Prompt22/Church_05/N-LIO,Native old 0.1/0.0025 differs from Oxford-author 0.5/0.01
OXFORD,Church_05,N-LIVO-STRIDE,0.212800;0.209700;0.210800,old Prompt15 effective profile,HISTORICAL_ONLY_WRONG_FINAL_SHARED_CONFIG,Prompt22/Church_05/N-LIVO-STRIDE,Native old 0.1/0.0025 differs from Oxford-author 0.5/0.01
OXFORD,Church_05,P-LIO,0.244000;0.244000;0.244000,old Prompt15 effective profile,HISTORICAL_VALID_CORRECT_CONFIG,Prompt22/Church_05/P-LIO,same-era final controlled rerun replaces mixed historical resource envelope
OXFORD,Church_05,P-LIVO-STRIDE,0.229200;0.229700;0.227300,old Prompt15 effective profile,HISTORICAL_VALID_CORRECT_CONFIG,Prompt22/Church_05/P-LIVO-STRIDE,same-era final controlled rerun replaces mixed historical resource envelope
OXFORD,College_03,N-LIO,0.054000;0.054000;0.054000,old Prompt15 effective profile,HISTORICAL_ONLY_WRONG_FINAL_SHARED_CONFIG,Prompt22/College_03/N-LIO,Native old 0.1/0.0025 differs from Oxford-author 0.5/0.01
OXFORD,College_03,N-LIVO-STRIDE,0.074600;0.074400;0.074800,old Prompt15 effective profile,HISTORICAL_ONLY_WRONG_FINAL_SHARED_CONFIG,Prompt22/College_03/N-LIVO-STRIDE,Native old 0.1/0.0025 differs from Oxford-author 0.5/0.01
OXFORD,College_03,P-LIO,0.074800;0.074800;0.074800,old Prompt15 effective profile,HISTORICAL_VALID_CORRECT_CONFIG,Prompt22/College_03/P-LIO,same-era final controlled rerun replaces mixed historical resource envelope
OXFORD,College_03,P-LIVO-STRIDE,1.157100;2.985600;2.181800,old Prompt15 effective profile,HISTORICAL_VALID_CORRECT_CONFIG,Prompt22/College_03/P-LIVO-STRIDE,same-era final controlled rerun replaces mixed historical resource envelope
OXFORD,Palace_01,N-LIO,0.147600;0.147600;0.147600,old Prompt15 effective profile,HISTORICAL_ONLY_WRONG_FINAL_SHARED_CONFIG,Prompt22/Palace_01/N-LIO,Native old 0.1/0.0025 differs from Oxford-author 0.5/0.01
