commit_or_file,origin_prompt,classification,keep_or_drop,reason,canonical_semantic_dependency
commit:f0cd38c,Prompt23,KEEP_ABLATION_ARCHIVE,KEEP,"Oxford LIVO stride sensitivity config and runner; valid ablation only","Prompt22 config remains canonical; not production"
commit:d869a7a,Prompt23,KEEP_ABLATION_ARCHIVE,KEEP,"Prompt23 config/pair validation evidence","No canonical estimator dependency"
commit:ac7fa33,Prompt23,DROP_EXPLORATORY,DROP,"Prompt23-only runtime ignore rule","None"
commit:faba915,Prompt23,KEEP_ABLATION_ARCHIVE,KEEP,"Prompt23 sensitivity report and numeric ledger","ABLATION_ONLY / NOT_CANONICAL"
commit:117926e,Prompt24,DROP_WRONG_SEMANTICS,DROP,"Adds cross-modal FEJ production seam and FEJ test path","Rejected FEJ production semantics"
commit:1225875,Prompt24,DROP_EXPLORATORY,DROP,"Prompt24 canary-only ignore rule","None"
commit:b74f8ae,Prompt24,KEEP_CANONICAL_TEST_EVIDENCE,KEEP,"Mixed FEJ canary ledgers; retain only extracted FEJ-OFF controls","Prompt22 FEJ-OFF behavior"
commit:a20ac9d,Prompt24,KEEP_CANONICAL_TEST_EVIDENCE,KEEP,"Mixed FEJ canary evidence; retain FEJ-OFF rows with provenance","Prompt22 FEJ-OFF behavior"
commit:1582bf3,Prompt25,DROP_EXPLORATORY,DROP,"FEJ matrix schedule/runner helpers","No canonical production dependency"
commit:4593b91,Prompt25,DROP_EXPLORATORY,DROP,"FEJ stability-controlled matrix helpers","No canonical production dependency"
commit:510dee2,Prompt25,DROP_EXPLORATORY,DROP,"FEJ pair-gate helper correction","No canonical production dependency"
commit:fa4bbd4,Prompt25,DROP_EXPLORATORY,DROP,"FEJ schedule resume helper","No canonical production dependency"
commit:5d38780,Prompt25,KEEP_CANONICAL_TEST_EVIDENCE,KEEP,"Mixed FEJ matrix artifacts; retain only FEJ-OFF controls","Prompt22 FEJ-OFF behavior"
commit:12694a9,Prompt26,DROP_WRONG_SEMANTICS,DROP,"Old final authority recommends FEJ-on and is superseded","New authority is Prompt22 FEJ-OFF"
file:2f4249c:src/LIVMapper.cpp,Prompt27,KEEP_CANONICAL_PRODUCTION,KEEP,"Publication-only RGB registered-cloud and duplicate LIO publication fix","FEJ/CN/SA independent; estimator state unchanged"
file:2f4249c:rviz_cfg/prompt27_fast_livo2.rviz,Prompt27,KEEP_CANONICAL_TEST_EVIDENCE,KEEP,"Canonical-compatible accumulated colored map RViz layout","No estimator dependency"
