family,sequence,algorithm_arm,camera_policy,config_authority,estimator_source_authority,repetitions,completeness,ATE_authority,resource_authority,parity_evidence,final_status,source_prompt_artifact
NTU,eee_01,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_01-N-LIO-r1..r3
NTU,eee_01,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_01-P-LIO-r1..r3
NTU,eee_01,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_01-N-LIVO-r1..r3
NTU,eee_01,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete_plus_Prompt21_smoke,HISTORICAL_VALID,Prompt15+Prompt21;results/prob_livo/prompt15/formal/P15-eee_01-P-LIVO-r1..r3;results/prob_livo/runs/prompt21_smoke_p_livo_eee01
NTU,eee_02,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_02-N-LIO-r1..r3
NTU,eee_02,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_02-P-LIO-r1..r3
NTU,eee_02,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_02-N-LIVO-r1..r3
NTU,eee_02,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_02-P-LIVO-r1..r3
NTU,eee_03,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_03-N-LIO-r1..r3
NTU,eee_03,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_03-P-LIO-r1..r3
NTU,eee_03,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_03-N-LIVO-r1..r3
NTU,eee_03,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-eee_03-P-LIVO-r1..r3
NTU,nya_01,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_01-N-LIO-r1..r3
NTU,nya_01,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_01-P-LIO-r1..r3
